Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Total_Test_Results,Case_Fatality_Ratio
Alabama,US,2020-04-12,32.3182,-86.9023,3667,93,,3470.0,1.0,75.98802021,21583.0,437.0,2.610159978,84000001.0,USA,460.3001516,12.26494527,,
New Hampshire,US,2020-04-12,43.4525,-71.5639,929,23,236.0,906.0,33.0,69.94702398,10925.0,146.0,2.475780409,84000033.0,USA,822.5739902,15.71582347,,
New Jersey,US,2020-04-12,40.2989,-74.521,61850,2350,,59500.0,34.0,696.3372772000001,126735.0,7604.0,3.7995149560000003,84000034.0,USA,1426.844055,12.29426031,,
New Mexico,US,2020-04-12,34.8405,-106.2485,1245,26,235.0,1219.0,35.0,74.66119111,28692.0,78.0,2.088353414,84000035.0,USA,1720.6256190000001,6.2650602410000005,,
New York,US,2020-04-12,42.1657,-74.9481,189033,9385,23887.0,179648.0,36.0,1121.124012,461601.0,42594.0,4.9647416060000005,84000036.0,USA,2737.680538,22.53257368,,
North Carolina,US,2020-04-12,35.6301,-79.8064,4570,89,,4481.0,37.0,46.07841902,62139.0,331.0,1.947483589,84000037.0,USA,626.5354222,7.242888402999999,,
North Dakota,US,2020-04-12,47.5289,-99.78399999999999,308,7,121.0,301.0,38.0,50.79004911,10350.0,39.0,2.272727273,84000038.0,USA,1706.7435329999998,12.66233766,,
Ohio,US,2020-04-12,40.3888,-82.7649,6604,253,,6351.0,39.0,59.10222609,63243.0,1948.0,3.831011508,84000039.0,USA,565.9906245,29.49727438,,
Oklahoma,US,2020-04-12,35.5653,-96.9289,1970,96,865.0,1874.0,40.0,53.85995428,22760.0,446.0,4.873096447,84000040.0,USA,622.2601824,22.63959391,,
Oregon,US,2020-04-12,44.571999999999996,-122.0709,1527,52,,1475.0,41.0,38.107606700000005,29758.0,359.0,3.4053700069999997,84000041.0,USA,742.6366471,23.51015062,,
Pennsylvania,US,2020-04-12,40.5908,-77.2098,22938,557,,22381.0,42.0,182.2284446,124890.0,2097.0,2.428284942,84000042.0,USA,992.175013,9.142035051,,
Puerto Rico,US,2020-04-12,18.2208,-66.5901,897,44,,853.0,72.0,30.57876709,6716.0,,4.905239688,630.0,PRI,228.94871769999997,,,
Rhode Island,US,2020-04-12,41.6809,-71.5118,2665,63,35.0,2602.0,44.0,251.56674640000003,20350.0,201.0,2.363977486,84000044.0,USA,1920.969339,7.542213884,,
Nevada,US,2020-04-12,38.3135,-117.0554,2836,112,,2724.0,32.0,94.01010443,24611.0,282.0,3.94922426,84000032.0,USA,815.8260508,9.943582511,,
South Carolina,US,2020-04-12,33.8569,-80.945,3320,82,,3238.0,45.0,65.87334263,31425.0,496.0,2.469879518,84000045.0,USA,623.5149976,14.93975904,,
Tennessee,US,2020-04-12,35.7478,-86.6923,5508,106,1504.0,5402.0,47.0,83.90037425,70677.0,567.0,1.924473493,84000047.0,USA,1076.584377,10.29411765,,
Texas,US,2020-04-12,31.0545,-97.5635,13691,285,2014.0,13394.0,48.0,59.50516088,124533.0,1338.0,2.069167215,84000048.0,USA,541.8115230000001,9.782847116000001,,
Utah,US,2020-04-12,40.15,-111.8624,2303,18,,2285.0,49.0,80.3592053,44234.0,195.0,0.781589231,84000049.0,USA,1543.468991,8.467216674,,
Vermont,US,2020-04-12,44.0459,-72.7107,727,27,15.0,700.0,50.0,119.06497150000001,9841.0,34.0,3.71389271,84000050.0,USA,1611.7171720000001,4.6767537830000006,,
Virginia,US,2020-04-12,37.7693,-78.17,5274,141,,5133.0,51.0,66.69845192,39985.0,751.0,2.673492605,84000051.0,USA,505.6764505,14.23966629,,
Washington,US,2020-04-12,47.4009,-121.4905,10609,506,,10103.0,53.0,140.5276682,93615.0,642.0,4.769535299999999,84000053.0,USA,1240.031828,6.051465737000001,,
West Virginia,US,2020-04-12,38.4912,-80.9545,593,6,83.0,587.0,54.0,44.82244115,16257.0,81.0,1.0118043840000002,84000054.0,USA,1228.8000439999998,13.65935919,,
Wisconsin,US,2020-04-12,44.2685,-89.6165,3341,144,,3197.0,55.0,64.56573888,39257.0,974.0,4.3100868,84000055.0,USA,758.6522632,29.15294822,,
Wyoming,US,2020-04-12,42.756,-107.3025,270,0,137.0,270.0,56.0,54.29973453,5459.0,40.0,0.0,84000056.0,USA,1097.860188,14.81481481,,
American Samoa,US,2020-04-12,-14.270999999999999,-170.1322,0,0,,0.0,60.0,0.0,3.0,,,16.0,ASM,5.391707554,,,
Northern Mariana Islands,US,2020-04-12,15.0979,145.6739,11,2,,9.0,69.0,19.947773100000003,38.0,,18.18181818,580.0,MNP,68.9104889,,,
Alaska,US,2020-04-12,61.3707,-152.4044,272,8,66.0,264.0,2.0,45.50404936,8038.0,31.0,2.9411764710000003,84000002.0,USA,1344.711576,11.39705882,,
South Dakota,US,2020-04-12,44.2998,-99.4388,730,6,197.0,724.0,46.0,99.19933903,8553.0,43.0,0.8219178079999999,84000046.0,USA,1162.262941,5.890410959,,
Nebraska,US,2020-04-12,41.1254,-98.2681,791,17,,774.0,31.0,51.85960275,10691.0,,2.149178255,84000031.0,USA,700.924163,,,
Virgin Islands,US,2020-04-12,18.3358,-64.8963,51,1,43.0,50.0,,47.54446806,350.0,3.0,1.960784314,850.0,VIR,326.2855651,5.882352941000001,,
Missouri,US,2020-04-12,38.4561,-92.2884,4269,118,,4151.0,29.0,72.85659283,45200.0,988.0,2.764113375,84000029.0,USA,771.4026695,23.14359335,,
Montana,US,2020-04-12,46.9219,-110.4544,387,6,169.0,381.0,30.0,44.68889256,8913.0,47.0,1.5503875969999998,84000030.0,USA,1029.230231,12.14470284,,
Arkansas,US,2020-04-12,34.9697,-92.3731,1280,27,367.0,1253.0,5.0,49.43942261,19722.0,130.0,2.109375,84000005.0,USA,761.7533537,10.15625,,
California,US,2020-04-12,36.1162,-119.6816,22795,640,,22155.0,6.0,58.13772584,190328.0,5234.0,2.81202018,84000006.0,USA,485.42386849999997,22.9611757,,
Colorado,US,2020-04-12,39.0598,-105.3111,7307,289,,7018.0,8.0,128.943729,34873.0,1376.0,3.955111537,84000008.0,USA,615.3899908,18.8312577,,
Connecticut,US,2020-04-12,41.5978,-72.7554,12035,554,,11481.0,9.0,337.56048250000003,41220.0,1654.0,4.6032405480000005,84000009.0,USA,1156.148159,13.74324886,,
Delaware,US,2020-04-12,39.3185,-75.5071,1625,35,191.0,1590.0,10.0,166.8782169,11103.0,190.0,2.153846154,84000010.0,USA,1140.214672,11.69230769,,
Diamond Princess,US,2020-04-12,,,49,0,0.0,49.0,888.0,,,,0.0,84088888.0,USA,,,,
District of Columbia,US,2020-04-12,38.8974,-77.0268,1875,50,493.0,1825.0,11.0,265.6751905,10640.0,,2.666666667,84000011.0,USA,1507.618148,,,
Florida,US,2020-04-12,27.7663,-81.6868,19895,461,,19434.0,12.0,93.70022691,182753.0,2772.0,2.317165117,84000012.0,USA,860.7186513,13.93314903,,
