Province/State,Country/Region,Continent,Lat,Long,Date,Confirmed,Deaths,Recovered
,Afghanistan,Asia,33.93911,67.709953,2020-01-22,0,0,0
,Albania,Europe,41.1533,20.1683,2020-01-22,0,0,0
,Algeria,Africa,28.0339,1.6596,2020-01-22,0,0,0
,Andorra,Europe,42.5063,1.5218,2020-01-22,0,0,0
,Angola,Africa,-11.2027,17.8739,2020-01-22,0,0,0
,Antigua and Barbuda,North America,17.0608,-61.7964,2020-01-22,0,0,0
,Argentina,South America,-38.4161,-63.6167,2020-01-22,0,0,0
,Armenia,Asia,40.0691,45.0382,2020-01-22,0,0,0
Australian Capital Territory,Australia,Australia,-35.4735,149.0124,2020-01-22,0,0,0
New South Wales,Australia,Australia,-33.8688,151.2093,2020-01-22,0,0,0
Northern Territory,Australia,Australia,-12.4634,130.8456,2020-01-22,0,0,0
Queensland,Australia,Australia,-27.4698,153.0251,2020-01-22,0,0,0
South Australia,Australia,Australia,-34.9285,138.6007,2020-01-22,0,0,0
Tasmania,Australia,Australia,-42.8821,147.3272,2020-01-22,0,0,0
Victoria,Australia,Australia,-37.8136,144.9631,2020-01-22,0,0,0
Western Australia,Australia,Australia,-31.9505,115.8605,2020-01-22,0,0,0
,Austria,Europe,47.5162,14.5501,2020-01-22,0,0,0
,Azerbaijan,Asia,40.1431,47.5769,2020-01-22,0,0,0
,Bahamas,North America,25.025885,-78.035889,2020-01-22,0,0,0
,Bahrain,Asia,26.0275,50.55,2020-01-22,0,0,0
,Bangladesh,Asia,23.685,90.3563,2020-01-22,0,0,0
,Barbados,North America,13.1939,-59.5432,2020-01-22,0,0,0
,Belarus,Europe,53.7098,27.9534,2020-01-22,0,0,0
,Belgium,Europe,50.8333,4.469936,2020-01-22,0,0,0
,Benin,Africa,9.3077,2.3158,2020-01-22,0,0,0
,Bhutan,Asia,27.5142,90.4336,2020-01-22,0,0,0
,Bolivia,South America,-16.2902,-63.5887,2020-01-22,0,0,0
,Bosnia and Herzegovina,Europe,43.9159,17.6791,2020-01-22,0,0,0
,Brazil,South America,-14.235,-51.9253,2020-01-22,0,0,0
,Brunei,Asia,4.5353,114.7277,2020-01-22,0,0,0
,Bulgaria,Europe,42.7339,25.4858,2020-01-22,0,0,0
,Burkina Faso,Africa,12.2383,-1.5616,2020-01-22,0,0,0
,Cabo Verde,Africa,16.5388,-23.0418,2020-01-22,0,0,0
,Cambodia,Asia,11.55,104.9167,2020-01-22,0,0,0
,Cameroon,Africa,3.848,11.5021,2020-01-22,0,0,0
Alberta,Canada,North America,53.9333,-116.5765,2020-01-22,0,0,0
British Columbia,Canada,North America,53.7267,-127.6476,2020-01-22,0,0,0
Grand Princess,Canada,North America,0.0,0.0,2020-01-22,0,0,0
Manitoba,Canada,North America,53.7609,-98.8139,2020-01-22,0,0,0
New Brunswick,Canada,North America,46.5653,-66.4619,2020-01-22,0,0,0
Newfoundland and Labrador,Canada,North America,53.1355,-57.6604,2020-01-22,0,0,0
Nova Scotia,Canada,North America,44.682,-63.7443,2020-01-22,0,0,0
Ontario,Canada,North America,51.2538,-85.3232,2020-01-22,0,0,0
Prince Edward Island,Canada,North America,46.5107,-63.4168,2020-01-22,0,0,0
Quebec,Canada,North America,52.9399,-73.5491,2020-01-22,0,0,0
Saskatchewan,Canada,North America,52.9399,-106.4509,2020-01-22,0,0,0
,Central African Republic,Africa,6.6111,20.9394,2020-01-22,0,0,0
,Chad,Africa,15.4542,18.7322,2020-01-22,0,0,0
,Chile,South America,-35.6751,-71.543,2020-01-22,0,0,0
Anhui,China,Asia,31.8257,117.2264,2020-01-22,1,0,0
Beijing,China,Asia,40.1824,116.4142,2020-01-22,14,0,0
Chongqing,China,Asia,30.0572,107.874,2020-01-22,6,0,0
Fujian,China,Asia,26.0789,117.9874,2020-01-22,1,0,0
Gansu,China,Asia,35.7518,104.2861,2020-01-22,0,0,0
Guangdong,China,Asia,23.3417,113.4244,2020-01-22,26,0,0
Guangxi,China,Asia,23.8298,108.7881,2020-01-22,2,0,0
Guizhou,China,Asia,26.8154,106.8748,2020-01-22,1,0,0
Hainan,China,Asia,19.1959,109.7453,2020-01-22,4,0,0
Hebei,China,Asia,39.549,116.1306,2020-01-22,1,0,0
Heilongjiang,China,Asia,47.862,127.7615,2020-01-22,0,0,0
Henan,China,Asia,37.8957,114.9042,2020-01-22,5,0,0
Hong Kong,China,Asia,22.3,114.2,2020-01-22,0,0,0
Hubei,China,Asia,30.9756,112.2707,2020-01-22,444,17,28
Hunan,China,Asia,27.6104,111.7088,2020-01-22,4,0,0
Inner Mongolia,China,Asia,44.0935,113.9448,2020-01-22,0,0,0
Jiangsu,China,Asia,32.9711,119.455,2020-01-22,1,0,0
Jiangxi,China,Asia,27.614,115.7221,2020-01-22,2,0,0
Jilin,China,Asia,43.6661,126.1923,2020-01-22,0,0,0
Liaoning,China,Asia,41.2956,122.6085,2020-01-22,2,0,0
Macau,China,Asia,22.1667,113.55,2020-01-22,1,0,0
Ningxia,China,Asia,37.2692,106.1655,2020-01-22,1,0,0
Qinghai,China,Asia,35.7452,95.9956,2020-01-22,0,0,0
Shaanxi,China,Asia,35.1917,108.8701,2020-01-22,0,0,0
Shandong,China,Asia,36.3427,118.1498,2020-01-22,2,0,0
Shanghai,China,Asia,31.202,121.4491,2020-01-22,9,0,0
Shanxi,China,Asia,37.5777,112.2922,2020-01-22,1,0,0
Sichuan,China,Asia,30.6171,102.7103,2020-01-22,5,0,0
