Long_,Lat_,FID,HOSPITAL_NAME,COUNTY_NAME,STATE_NAME,FIPS,NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS
-112.06615690000001,33.4954978,1,Phoenix VA Health Care System (AKA Carl T Hayden VA Medical Center),Maricopa,Arizona,4013,62,62,0
-110.9658852,32.1812634,2,Southern Arizona VA Health Care System,Pima,Arizona,4019,295,295,2
-119.77974209999998,36.7733235,3,VA Central California Health Care System,Fresno,California,6019,54,54,2
-72.9576103,41.284400399999996,4,VA Connecticut Healthcare System - West Haven Campus (AKA West Haven VA Medical Center),New Haven,Connecticut,9009,216,216,1
-75.6065325,39.7402063,5,Wilmington VA Medical Center,New Castle,Delaware,10003,62,62,0
-77.0111948,38.9306823,6,Washington DC VA Medical Center,District of Columbia,District of Columbia,11001,164,164,1
-82.345254,29.636988899999995,7,North Florida/South Georgia Veterans Health System - Malcom Randall VA Medical Center,Alachua,Florida,12001,432,278,2
-116.1901845,43.621035,8,Boise VA Medical Center,Ada,Idaho,16001,46,46,1
-93.7216826,32.503100800000006,9,Overton Brooks VA Medical Center,Caddo,Louisiana,22017,111,111,1
-90.10530849999999,32.325487100000004,10,Merit Health River Oaks (FKA River Oaks Hospital - Jackson),Rankin,Mississippi,28121,160,160,10
-92.32884870000001,38.9372354,11,Harry S Truman Memorial Veterans Hospital,Boone,Missouri,29019,89,89,2
-106.5816425,35.055193100000004,12,New Mexico VA Health Care System - Raymond G Murphy VA Medical Center,Bernalillo,New Mexico,35001,163,163,1
-73.7744404,42.649612700000006,13,Albany Stratton VA Medical Center,Albany,New York,36001,67,67,2
-73.9064046,40.8674032,14,James J Peters VA Medical Center,Bronx,New York,36005,311,311,2
-96.77453,46.905932799999995,15,Fargo VA Health Care System,Cass,North Dakota,38017,37,37,1
-123.3650574,43.2270692,16,Roseburg VA Health Care System,Douglas,Oregon,41019,0,0,0
-79.96080740000001,40.4462661,17,VA Pittsburgh Healthcare System - University Drive,Allegheny,Pennsylvania,42003,146,146,2
-86.451938,32.463778000000005,18,Prattville Baptist Hospital,Autauga,Alabama,1001,85,55,6
-87.8883067,30.519026500000002,19,Thomas Hospital,Baldwin,Alabama,1003,150,129,17
-87.785172,30.903945,20,North Baldwin Infirmary,Baldwin,Alabama,1003,58,55,4
-85.1563565,31.8887641,21,Medical Center Barbour,Barbour,Alabama,1005,74,30,5
-87.1481336,32.951223399999996,22,Bibb Medical Center,Bibb,Alabama,1007,35,25,4
-86.4949953,33.9333028,23,St Vincents Blount,Blount,Alabama,1009,25,25,6
-85.713048,32.146119,24,Bullock County Hospital,Bullock,Alabama,1011,61,30,5
-86.64627,31.8290939,25,Regional Medical Center of Central Alabama (FKA LV Stabler Memorial Hospital),Butler,Alabama,1013,72,44,7
-85.825,33.6676,26,Stringfellow Memorial Hospital,Calhoun,Alabama,1015,125,125,6
-85.8228352,33.6563953,27,Regional Medical Center Anniston (FKA Northeast Alabama Regional Medical Center - Anniston),Calhoun,Alabama,1015,323,272,18
-85.1685934,32.8246478,28,East Alabama Medical Center - Lanier,Chambers,Alabama,1017,115,84,15
-85.6513,34.1627,29,Cherokee Medical Center,Cherokee,Alabama,1019,60,45,8
-87.77728909999999,31.695007,30,Grove Hill Memorial Hospital,Clarke,Alabama,1025,50,21,4
-87.895053,31.531194699999997,31,Jackson Medical Center,Clarke,Alabama,1025,35,35,6
-85.82382199999999,33.2771472,32,Clay County Hospital,Clay,Alabama,1027,45,46,4
-85.855114,31.318647,33,Medical Center Enterprise,Coffee,Alabama,1031,131,99,7
-87.675383,34.744969,34,Shoals Hospital,Colbert,Alabama,1033,198,122,10
-86.9408213,31.4309781,35,Evergreen Medical Center,Conecuh,Alabama,1035,58,44,8
-86.49476240000001,31.2962978,36,Andalusia Regional Hospital (AKA Andalusia Health),Covington,Alabama,1039,88,83,8
-86.2542062,31.291985200000003,37,Mizell Memorial Hospital,Covington,Alabama,1039,99,45,5
-86.2650941,31.693352899999997,38,Crenshaw Community Hospital,Crenshaw,Alabama,1041,65,29,5
-86.8748531,34.207586600000006,39,Cullman Regional Medical Center,Cullman,Alabama,1043,145,145,12
-85.632075,31.451328000000004,40,Dale Medical Center,Dale,Alabama,1045,89,77,6
-87.056025,32.4292722,41,Vaughan Regional Medical Center,Dallas,Alabama,1047,175,109,23
-85.75501379999999,34.441975299999996,42,Dekalb Regional Medical Center,DeKalb,Alabama,1049,134,97,12
-85.912363,32.534053,43,Community Hospital,Elmore,Alabama,1051,69,37,5
-86.18666970000001,32.5523787,44,Elmore Community Hospital,Elmore,Alabama,1051,69,33,6
-87.0712,31.1249,45,DW McMillan Memorial Hospital,Escambia,Alabama,1053,91,46,8
-87.4763489,31.0166253,46,Atmore Community Hospital,Escambia,Alabama,1053,51,49,6
-85.96757190000001,34.00740220000001,47,Gadsden Regional Medical Center,Etowah,Alabama,1055,346,222,40
-86.003626,34.004403,48,Riverview Regional Medical Center,Etowah,Alabama,1055,281,256,45
-87.8242179,33.708026600000004,49,Fayette Medical Center (FKA Weimer Medical Center),Fayette,Alabama,1057,61,45,8
-87.71834709999999,34.5107726,50,Russellville Hospital,Franklin,Alabama,1059,100,49,7
-88.1477,34.4575,51,Red Bay Hospital,Franklin,Alabama,1059,25,25,4
-85.890977,31.048773999999998,52,Wiregrass Medical Center,Geneva,Alabama,1061,83,73,6
-87.89,32.8421,53,Greene County Hospital,Greene,Alabama,1063,20,20,4
-87.58690770000001,32.695544399999996,54,Hale County Hospital,Hale,Alabama,1065,39,28,5
-85.456757,31.2379068,55,Flowers Hospital,Houston,Alabama,1069,235,235,26
-85.39295440000001,31.2197115,56,Southeast Health (FKA Southeast Alabama Medical Center),Houston,Alabama,1069,420,342,40
-86.0466,34.6617,57,Highlands Medical Center,Jackson,Alabama,1071,170,92,10
-86.78891109999999,33.5071812,58,St Vincents Birmingham,Jefferson,Alabama,1073,409,400,83
-86.8470166,33.4984021,59,Princeton Baptist Medical Center,Jefferson,Alabama,1073,505,279,33
-86.7188447,33.4327755,60,Grandview Medical Center (FKA Trinity Medical Center),Jefferson,Alabama,1073,402,373,72
-86.6676502,33.596457,61,St Vincents East (FKA Medical Center East),Jefferson,Alabama,1073,362,309,44
-86.80245749999999,33.503575399999995,62,UAB Callahan Eye Hospital,Jefferson,Alabama,1073,106,12,2
-87.6989,34.7464,63,Helen Keller Hospital,Colbert,Alabama,1033,185,178,12
-86.8031931,33.506617600000006,64,UAB Hospital,Jefferson,Alabama,1073,1157,1100,85
-86.9906177,33.3722775,65,Medical West Hospital,Jefferson,Alabama,1073,310,187,21
-86.80155490000001,33.5041206,66,Birmingham VA Medical Center,Jefferson,Alabama,1073,313,129,0
-86.8069698,33.470238300000005,67,Brookwood Baptist Medical Center (FKA Brookwood Medical Center),Jefferson,Alabama,1073,595,425,26
-87.6509453,34.8043939,68,North Alabama Medical Center (FKA Eliza Coffee Memorial Hospital),Lauderdale,Alabama,1077,263,233,36
-87.286,34.4828,69,Lawrence Medical Center,Lawrence,Alabama,1079,98,43,6
-85.4037506,32.64016289999999,70,East Alabama Medical Center - Opelika,Lee,Alabama,1081,314,299,20
-86.979177,34.8042607,71,Athens-Limestone Hospital,Limestone,Alabama,1083,71,66,10
-86.581799,34.721046,72,Huntsville Hospital,Madison,Alabama,1089,881,877,67
-86.57193240000001,34.6939279,73,Crestwood Medical Center,Madison,Alabama,1089,180,183,16
-87.91165,32.384584000000004,74,Bryan W Whitfield Memorial Hospital,Marengo,Alabama,1091,99,37,5
-87.82442579999999,33.9302561,75,Northwest Medical Center,Marion,Alabama,1093,71,61,4
-87.9914652,34.1267995,76,North Mississippi Medical Center - Hamilton,Marion,Alabama,1093,49,36,4
-86.160495,34.22159,77,Marshall Medical Center South,Marshall,Alabama,1095,150,150,20
-88.0985628,30.7072875,78,USA Health University Hospital (FKA University of South Alabama Medical Center),Mobile,Alabama,1097,406,183,32
-88.19855229999999,30.6782817,79,Providence Hospital,Mobile,Alabama,1097,349,349,33
-88.0794252,30.6988625,80,Mobile Infirmary,Mobile,Alabama,1097,669,611,38
-88.13171109999999,30.6852336,81,Springhill Medical Center,Mobile,Alabama,1097,263,198,20
