State,County,Population2019,FIPS
Alabama,Alabama,4903185,1000
Alabama,Autauga,55869,1001
Alabama,Baldwin,223234,1003
Alabama,Barbour,24686,1005
Alabama,Bibb,22394,1007
Alabama,Blount,57826,1009
Alabama,Bullock,10101,1011
Alabama,Butler,19448,1013
Alabama,Calhoun,113605,1015
Alabama,Chambers,33254,1017
Alabama,Cherokee,26196,1019
Alabama,Chilton,44428,1021
Alabama,Choctaw,12589,1023
Alabama,Clarke,23622,1025
Alabama,Clay,13235,1027
Alabama,Cleburne,14910,1029
Alabama,Coffee,52342,1031
Alabama,Colbert,55241,1033
Alabama,Conecuh,12067,1035
Alabama,Coosa,10663,1037
Alabama,Covington,37049,1039
Alabama,Crenshaw,13772,1041
Alabama,Cullman,83768,1043
Alabama,Dale,49172,1045
Alabama,Dallas,37196,1047
Alabama,DeKalb,71513,1049
Alabama,Elmore,81209,1051
Alabama,Escambia,36633,1053
Alabama,Etowah,102268,1055
Alabama,Fayette,16302,1057
Alabama,Franklin,31362,1059
Alabama,Geneva,26271,1061
Alabama,Greene,8111,1063
Alabama,Hale,14651,1065
Alabama,Henry,17205,1067
Alabama,Houston,105882,1069
Alabama,Jackson,51626,1071
Alabama,Jefferson,658573,1073
Alabama,Lamar,13805,1075
Alabama,Lauderdale,92729,1077
Alabama,Lawrence,32924,1079
Alabama,Lee,164542,1081
Alabama,Limestone,98915,1083
Alabama,Lowndes,9726,1085
Alabama,Macon,18068,1087
Alabama,Madison,372909,1089
Alabama,Marengo,18863,1091
Alabama,Marion,29709,1093
Alabama,Marshall,96774,1095
Alabama,Mobile,413210,1097
Alabama,Monroe,20733,1099
Alabama,Montgomery,226486,1101
Alabama,Morgan,119679,1103
Alabama,Perry,8923,1105
Alabama,Pickens,19930,1107
Alabama,Pike,33114,1109
Alabama,Randolph,22722,1111
Alabama,Russell,57961,1113
Alabama,St. Clair,89512,1115
Alabama,Shelby,217702,1117
Alabama,Sumter,12427,1119
Alabama,Talladega,79978,1121
Alabama,Tallapoosa,40367,1123
Alabama,Tuscaloosa,209355,1125
Alabama,Walker,63521,1127
Alabama,Washington,16326,1129
Alabama,Wilcox,10373,1131
Alabama,Winston,23629,1133
Alaska,Alaska,731545,2000
Alaska,Aleutians East Borough,3337,2013
Alaska,Aleutians West Census Area,5634,2016
Alaska,Anchorage Municipality,288000,2020
Alaska,Bethel Census Area,18386,2050
Alaska,Bristol Bay Borough,836,2060
Alaska,Denali Borough,2097,2068
Alaska,Dillingham Census Area,4916,2070
Alaska,Fairbanks North Star Borough,96849,2090
Alaska,Haines Borough,2530,2100
Alaska,Hoonah-Angoon Census Area,2148,2105
Alaska,Juneau City and Borough,31974,2110
Alaska,Kenai Peninsula Borough,58708,2122
Alaska,Ketchikan Gateway Borough,13901,2130
Alaska,Kodiak Island Borough,12998,2150
Alaska,Kusilvak Census Area,8314,2158
Alaska,Lake and Peninsula Borough,1592,2164
Alaska,Matanuska-Susitna Borough,108317,2170
Alaska,Nome Census Area,10004,2180
Alaska,North Slope Borough,9832,2185
Alaska,Northwest Arctic Borough,7621,2188
Alaska,Petersburg Borough,3266,2195
